symptom,protein
C0033687,396
C0033687,6928
C0033687,23095
C0033687,1352
C0033687,51196
C0033687,1287
C0033687,3106
C0033687,2969
C0033687,9935
C0033687,4010
C0033687,540
C0033687,1514
C0033687,11093
C0033687,22909
C0033687,4868
C0033687,1340
C0033687,213
C0033687,2006
C0033687,26762
C0033687,387
C0033687,4036
C0033687,3123
C0033687,183
C0033687,5625
C0033687,9569
C0033687,5800
C0033687,4690
C0033687,7428
C0033687,1184
C0033687,241
C0033687,6696
C0033687,26191
C0033687,950
C0033687,8481
C0033687,3164
C0033687,4952
C0033687,25970
C0033687,6337
C0033687,6341
C0033687,3172
C0033687,51204
C0033687,5657
C0033687,4643
C0033687,9031
C0033687,6392
C0033687,7827
C0033687,5982
C0033687,81
C0033687,2538
C0033687,3557
C0033687,11277
C0033687,5979
C0033687,3984
C0033687,3952
C0033687,1497
C0033687,5058
C0033687,4000
C0033687,2990
C0033687,1962
C0033687,25974
C0033687,8526
C0033687,2243
C0033687,1536
C0033687,54938
C0033687,4069
C0033687,7461
C0033687,51004
C0033687,3931
C0033687,1286
C0033687,23607
C0033687,5465
C0033687,348
C0033687,22868
C0020615,37
C0020615,2645
C0020615,178
C0020615,34
C0020615,2641
C0020615,1376
C0020615,2538
C0020615,6566
C0020615,3630
C0020615,3767
C0020615,2746
C0020615,3643
C0020615,1374
C0020615,2203
C0020615,33
C0020615,788
C0020615,2998
C0020615,6833
C0020615,1392
C0020615,3033
C0020615,208
C0032914,9370
C0032914,5020
C0032914,4846
C0032914,5972
C0032914,967
C0032914,2147
C0032914,92
C0032914,6403
C0032914,3953
C0032914,3383
C0032914,308
C0032914,6401
C0032914,2152
C0032914,55000
C0032914,7043
C0032914,29124
C0032914,7422
C0032914,115677
C0032914,3684
C0032914,5055
C0032914,2321
C0032914,8038
C0032914,3814
C0032914,3162
C0032914,4524
C0032914,5054
C0032914,10468
C0032914,5281
C0032914,7056
C0032914,5228
C0032914,3484
C0032914,133
C0032914,3091
C0032914,5069
C0032914,185
C0032914,3606
C0032914,1392
C0032914,283120
C0032914,3586
C0032914,186
C0032914,1906
C0032914,3625
C0032914,4973
C0032914,847
C0032914,3791
C0032914,4843
C0032914,2022
C0032914,183
C0032914,3135
C0032914,3291
C0032914,4012
C0032914,23564
C0032914,350
C0032914,2028
C0032914,7412
C0032914,2153
C0032914,6402
C0032914,7124
C0032914,174
C0032914,3623
C0032914,6866
